"Wavelength (nm)","σ (cm^2)"
141.75,6.66E-19
142.5,2.23E-18
142.9,1.60E-18
143.45,2.01E-18
143.6,4.76E-19
144.05,1.38E-19
144.4,1.39E-18
144.5,4.23E-18
145.2,1.31E-18
145.45,2.95E-18
145.75,8.89E-19
146.15,8.97E-19
146.7,1.32E-18
147.2,2.23E-19
147.9,2.34E-18
148.25,2.56E-18
148.35,1.11E-18
148.6,9.68E-19
148.8,3.68E-19
149.0,1.09E-18
149.3,1.18E-18
149.7,2.44E-18
150.0,1.81E-18
151.0,1.12E-19
151.7,4.69E-19
152.0,9.68E-20
152.1,3.61E-19
152.4,9.30E-20
152.5,4.80E-19
153.0,4.84E-19
153.1,5.25E-19
153.3,2.01E-19
153.6,1.04E-19
154.0,2.79E-19
154.4,8.19E-20
155.1,6.40E-19
155.2,5.06E-19
155.3,7.33E-19
155.8,3.65E-19
156.2,6.44E-19
156.7,7.82E-20
157.0,1.64E-19
157.7,5.95E-20
158.3,4.21E-19
159.6,5.58E-20
159.9,1.56E-19
160.6,5.21E-20
160.7,2.79E-19
160.9,3.80E-19
161.2,3.80E-19
161.3,4.69E-19
161.5,1.19E-19
162.0,1.64E-19
162.2,6.89E-19
162.8,7.07E-20
163.7,6.70E-20
163.8,3.20E-19
163.9,1.15E-19
164.1,2.83E-19
164.4,1.12E-19
164.7,3.61E-19
165.0,1.34E-19
165.9,5.95E-20
166.8,6.44E-19
167.6,6.70E-20
167.9,8.37E-19
168.5,4.09E-20
169.1,5.95E-19
169.3,3.61E-19
169.5,5.28E-19
169.9,7.44E-20
170.4,1.41E-19
171.0,1.08E-19
171.3,1.45E-19
172.0,2.98E-20
173.1,6.48E-19
173.2,3.09E-19
173.4,5.40E-19
174.0,5.58E-20
175.0,3.72E-20
175.2,1.05E-18
175.5,6.74E-19
175.6,1.13E-18
176.1,1.23E-19
176.3,4.24E-19
176.6,2.23E-19
176.7,4.50E-19
177.5,5.21E-20
179.2,1.45E-19
179.9,9.68E-19
180.2,3.83E-19
180.4,5.25E-19
180.8,4.84E-20
182.4,1.86E-19
182.7,1.50E-18
183.2,7.00E-19
183.3,1.13E-18
184.2,9.68E-20
184.9,1.49E-19
185.3,7.07E-20
186.7,7.07E-20
187.6,7.44E-19
188.3,7.07E-20
189.4,3.72E-20
191.0,8.11E-19
