"Wavelength (nm)","σ (cm^2)"
156.2,4.2412e-19
156.4,8.03133e-18
156.6,3.69322e-18
156.8,8.1498e-19
157,8.3405e-19
157.2,2.6275e-19
157.4,8.734e-20
157.6,2.1147e-19
157.8,1.6876e-19
158,1.0374e-19
158.2,6.473e-20
158.4,6.177e-20
158.6,3.4609e-19
158.8,4.74908e-18
159,3.18428e-18
159.2,8.2045e-19
159.4,7.3238e-19
159.6,3.4254e-19
159.8,1.3566e-19
160,1.9772e-19
160.2,2.3807e-19
160.4,2.1723e-19
160.6,2.8757e-19
160.8,3.1388e-19
161,4.318e-19
161.2,1.49815e-18
161.4,3.1559e-18
161.6,1.13108e-18
161.8,7.5031e-19
162,4.7426e-19
162.2,4.1466e-19
162.4,4.4471e-19
162.6,3.5747e-19
162.8,4.1643e-19
163,5.1244e-19
163.2,5.0076e-19
163.4,5.9864e-19
163.6,8.3375e-19
163.8,2.6245e-18
164,1.68095e-18
164.2,9.069e-19
164.4,6.046e-19
164.6,5.0973e-19
164.8,4.582e-19
165,4.7027e-19
165.2,4.4924e-19
165.4,5.7362e-19
165.6,6.7632e-19
165.8,7.9602e-19
166,9.9995e-19
166.2,1.5113e-18
166.4,1.79681e-18
166.6,1.35481e-18
166.8,1.01808e-18
167,8.1277e-19
167.2,7.0829e-19
167.4,6.7011e-19
167.6,6.5218e-19
167.8,7.3903e-19
168,8.1104e-19
168.2,9.7646e-19
168.4,1.16625e-18
168.6,1.35747e-18
168.8,1.75721e-18
169,2.00522e-18
169.2,1.90932e-18
169.4,1.68524e-18
169.6,1.43082e-18
169.8,1.26008e-18
170,1.11979e-18
170.2,1.07931e-18
170.4,1.09251e-18
170.6,1.0997e-18
170.8,1.28856e-18
171,1.5312e-18
171.2,1.87203e-18
171.4,2.17231e-18
171.6,2.70711e-18
171.8,3.12856e-18
172,3.09019e-18
172.2,2.82228e-18
172.4,2.35028e-18
172.6,2.0331e-18
172.8,1.76976e-18
173,1.6712e-18
173.2,1.59495e-18
173.4,1.65302e-18
173.6,1.87089e-18
173.8,2.21472e-18
174,2.59578e-18
174.2,3.14359e-18
174.4,3.96232e-18
174.6,4.6777e-18
174.8,5.11354e-18
175,4.74346e-18
175.2,4.10739e-18
175.4,3.38013e-18
175.6,2.86784e-18
175.8,2.44077e-18
176,2.32619e-18
176.2,2.25299e-18
176.4,2.42771e-18
176.6,2.79237e-18
176.8,3.28757e-18
177,3.89626e-18
177.2,4.89222e-18
177.4,6.00961e-18
177.6,7.1228e-18
177.8,7.7506e-18
178,7.06246e-18
178.2,5.88163e-18
178.4,4.82794e-18
178.6,3.88902e-18
178.8,3.2988e-18
179,2.96774e-18
179.2,2.87725e-18
179.4,3.0366e-18
179.6,3.41683e-18
179.8,4.08556e-18
180,4.98429e-18
180.2,6.21945e-18
180.4,7.78661e-18
180.6,9.64829e-18
180.8,1.092064e-17
181,1.060839e-17
181.2,9.18442e-18
181.4,7.33575e-18
181.6,5.88207e-18
181.8,4.80021e-18
182,4.13418e-18
182.2,3.80228e-18
182.4,3.87247e-18
182.6,4.05216e-18
182.8,4.618e-18
183,5.545e-18
183.2,6.73164e-18
183.4,8.54086e-18
183.6,1.092183e-17
183.8,1.304744e-17
184,1.40402e-17
184.2,1.329718e-17
184.4,1.117127e-17
184.6,8.92419e-18
184.8,7.01241e-18
185,5.64105e-18
185.2,4.96069e-18
185.4,4.33353e-18
185.6,4.13728e-18
185.8,4.53303e-18
186,5.12724e-18
186.2,5.78838e-18
186.4,7.44274e-18
186.6,9.72233e-18
186.8,1.268184e-17
187,1.584277e-17
187.2,1.745249e-17
187.4,1.670652e-17
187.6,1.431329e-17
187.8,1.139501e-17
188,8.78632e-18
188.2,7.05793e-18
188.4,5.72218e-18
188.6,4.68243e-18
188.8,4.48249e-18
189,4.30782e-18
189.2,4.72514e-18
189.4,5.15073e-18
189.6,6.43963e-18
189.8,8.58046e-18
190,1.180937e-17
190.2,1.571524e-17
190.4,1.946387e-17
190.6,2.035451e-17
190.8,1.836294e-17
191,1.532555e-17
191.2,1.213093e-17
191.4,9.39663e-18
191.6,7.20009e-18
191.8,5.79607e-18
192,4.80686e-18
192.2,4.39264e-18
192.4,4.13728e-18
192.6,4.4717e-18
192.8,4.85799e-18
193,5.88252e-18
193.2,7.6978e-18
193.4,1.132703e-17
193.6,1.59703e-17
193.8,2.061105e-17
194,2.176858e-17
194.2,1.999512e-17
194.4,1.661342e-17
194.6,1.296616e-17
194.8,9.82622e-18
195,7.45175e-18
195.2,5.84228e-18
195.4,4.69755e-18
195.6,4.0396e-18
195.8,3.65416e-18
196,3.56593e-18
196.2,3.81272e-18
196.4,4.26186e-18
196.6,5.23486e-18
196.8,7.22625e-18
197,1.140092e-17
197.2,1.750776e-17
197.4,2.123452e-17
197.6,2.102763e-17
197.8,1.795123e-17
198,1.382204e-17
198.2,1.047851e-17
198.4,7.62714e-18
198.6,5.6211e-18
198.8,4.11085e-18
199,3.13685e-18
199.2,2.60735e-18
199.4,2.44886e-18
199.6,2.21031e-18
199.8,2.41847e-18
200,2.64625e-18
200.2,3.19493e-18
200.4,4.55503e-18
200.6,7.76655e-18
200.8,1.38042e-17
201,1.786608e-17
201.2,1.839261e-17
201.4,1.525462e-17
201.6,1.175366e-17
201.8,8.55532e-18
202,6.1206e-18
202.2,4.34141e-18
202.4,3.23129e-18
202.6,2.42729e-18
202.8,1.95139e-18
203,1.61224e-18
203.2,1.47205e-18
203.4,1.55636e-18
203.6,1.73858e-18
203.8,1.91311e-18
204,2.25797e-18
204.2,3.09696e-18
204.4,6.53818e-18
204.6,1.229424e-17
204.8,1.293579e-17
205,1.341102e-17
205.2,1.050912e-17
205.4,7.28944e-18
205.6,4.93249e-18
205.8,3.23392e-18
206,2.27799e-18
206.2,1.6716e-18
206.4,1.22401e-18
206.6,9.173e-19
206.8,7.3088e-19
207,6.6059e-19
207.2,6.613e-19
207.4,6.9864e-19
207.6,7.8501e-19
207.8,9.1211e-19
208,1.32729e-18
208.2,3.00299e-18
208.4,9.73382e-18
208.6,6.2136e-18
208.8,9.21733e-18
209,7.36418e-18
209.2,5.2061e-18
209.4,3.10802e-18
209.6,1.9342e-18
209.8,1.16639e-18
210,6.9834e-19
210.2,4.5247e-19
210.4,2.9752e-19
210.6,2.3656e-19
210.8,2.0772e-19
211,2.1309e-19
211.2,2.1809e-19
211.4,2.3887e-19
211.6,2.6923e-19
211.8,3.81e-19
212,7.3129e-19
212.2,2.53305e-18
212.4,3.7625e-18
212.6,2.39402e-18
212.8,4.33362e-18
213,2.98391e-18
213.2,2.06541e-18
213.4,1.14104e-18
213.6,6.7536e-19
213.8,3.7345e-19
214,2.1292e-19
