 Level  PRESSURE   K121    K122    K123    K124    K125    K126    K127    K128    K129    K130
 136  2.692E+01   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.367E-03  0.000E+00  0.000E+00  1.006E+00  1.006E-06
 137  2.433E+01   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.366E-03  0.000E+00  0.000E+00  1.007E+00  1.036E-06
 138  1.752E+01   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.366E-03  0.000E+00  0.000E+00  1.008E+00  1.142E-06
 139  1.251E+01   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.364E-03  0.000E+00  0.000E+00  1.009E+00  1.255E-06
 140  8.952E+00   2.375E-32  0.000E+00  0.000E+00  2.375E-32  2.375E-32  2.362E-03  0.000E+00  1.006E-32  1.010E+00  1.361E-06
 141  6.407E+00   1.272E-25  0.000E+00  2.044E-38  1.272E-25  1.272E-25  2.360E-03  0.000E+00  9.339E-26  1.010E+00  1.461E-06
 142  4.584E+00   1.241E-20  0.000E+00  4.344E-31  1.241E-20  1.241E-20  2.361E-03  0.000E+00  5.318E-20  1.010E+00  1.583E-06
 143  3.283E+00   1.958E-16  0.000E+00  3.583E-25  1.958E-16  1.958E-16  2.371E-03  0.000E+00  1.254E-15  1.010E+00  1.784E-06
 144  2.351E+00   7.770E-13  0.000E+00  1.055E-20  7.770E-13  7.770E-13  2.394E-03  0.000E+00  7.651E-12  1.010E+00  2.124E-06
 145  1.684E+00   3.357E-10  0.000E+00  8.775E-17  3.357E-10  3.357E-10  2.432E-03  0.000E+00  6.009E-09  1.010E+00  2.792E-06
 146  1.207E+00   1.988E-08  0.000E+00  1.236E-13  1.988E-08  1.988E-08  2.486E-03  0.000E+00  4.591E-07  1.010E+00  4.261E-06
 147  8.644E-01   2.510E-07  0.000E+00  1.415E-11  2.510E-07  2.510E-07  2.555E-03  0.000E+00  6.294E-06  1.010E+00  7.935E-06
 148  6.189E-01   1.110E-06  0.000E+00  2.977E-10  1.110E-06  1.110E-06  2.635E-03  0.000E+00  2.907E-05  1.011E+00  1.612E-05
 149  4.433E-01   2.345E-06  0.000E+00  1.853E-09  2.345E-06  2.345E-06  2.703E-03  0.000E+00  6.496E-05  1.011E+00  2.638E-05
 150  3.176E-01   3.284E-06  0.000E+00  5.581E-09  3.284E-06  3.284E-06  2.744E-03  0.000E+00  9.823E-05  1.011E+00  3.421E-05
 151  2.273E-01   3.756E-06  0.000E+00  1.100E-08  3.756E-06  3.756E-06  2.761E-03  0.000E+00  1.225E-04  1.011E+00  3.862E-05
 152  1.626E-01   3.956E-06  2.054E-33  1.697E-08  3.956E-06  3.956E-06  2.767E-03  2.054E-33  1.402E-04  1.011E+00  4.102E-05
 153  1.163E-01   4.062E-06  2.733E-27  2.302E-08  4.062E-06  4.062E-06  2.769E-03  2.733E-27  1.549E-04  1.011E+00  4.269E-05
 154  8.334E-02   4.149E-06  6.635E-22  2.973E-08  4.149E-06  4.149E-06  2.770E-03  6.635E-22  1.678E-04  1.011E+00  4.408E-05
 155  5.961E-02   4.270E-06  8.620E-17  4.083E-08  4.270E-06  4.270E-06  2.772E-03  8.620E-17  1.810E-04  1.011E+00  4.545E-05
 156  4.263E-02   4.487E-06  4.288E-13  6.295E-08  4.487E-06  4.487E-06  2.776E-03  4.288E-13  1.971E-04  1.011E+00  4.704E-05
 157  3.049E-02   4.855E-06  1.898E-10  1.050E-07  4.855E-06  4.855E-06  2.783E-03  1.898E-10  2.183E-04  1.011E+00  4.908E-05
 158  2.183E-02   5.412E-06  1.516E-08  1.954E-07  5.412E-06  5.412E-06  2.793E-03  1.516E-08  2.447E-04  1.011E+00  5.158E-05
 159  1.562E-02   6.307E-06  3.886E-07  4.700E-07  6.307E-06  6.307E-06  2.810E-03  3.886E-07  2.746E-04  1.011E+00  5.468E-05
 160  1.119E-02   8.160E-06  4.094E-06  1.496E-06  8.160E-06  8.160E-06  2.845E-03  4.094E-06  3.038E-04  1.011E+00  6.021E-05
 161  8.025E-03   1.378E-05  2.626E-05  5.659E-06  1.378E-05  1.378E-05  2.952E-03  2.626E-05  3.314E-04  1.011E+00  8.002E-05
 162  5.761E-03   2.948E-05  1.077E-04  1.790E-05  2.948E-05  2.948E-05  3.250E-03  1.077E-04  3.545E-04  1.011E+00  1.422E-04
 163  4.146E-03   6.706E-05  3.367E-04  4.566E-05  6.706E-05  6.706E-05  3.965E-03  3.367E-04  3.740E-04  1.011E+00  2.916E-04
 164  2.991E-03   1.351E-04  8.063E-04  9.136E-05  1.351E-04  1.351E-04  5.258E-03  8.063E-04  3.892E-04  1.011E+00  5.472E-04
 165  2.166E-03   2.353E-04  1.573E-03  1.517E-04  2.353E-04  2.353E-04  7.162E-03  1.573E-03  4.011E-04  1.011E+00  8.943E-04
 166  1.575E-03   3.599E-04  2.618E-03  2.190E-04  3.599E-04  3.599E-04  9.528E-03  2.618E-03  4.102E-04  1.011E+00  1.296E-03
 167  1.148E-03   4.964E-04  3.865E-03  2.853E-04  4.964E-04  4.964E-04  1.212E-02  3.865E-03  4.172E-04  1.011E+00  1.720E-03
