Index   PRESSURE   C4H8       C4H9       C4H10      C5H3       C5H4       C6H2       C6H3       C6H4       C6H5       LC6H6   
 109   4.044E+02   5.344E-06  1.245E-12  1.464E-08  1.811E-09  9.495E-09  2.431E-13  2.193E-19  1.150E-13  5.709E-13  4.707E-15
 110   3.656E+02   4.171E-06  8.668E-13  1.139E-08  1.263E-09  7.142E-09  1.568E-13  1.333E-19  7.876E-14  4.270E-13  3.254E-15
 111   3.308E+02   3.306E-06  6.151E-13  8.941E-09  9.320E-10  5.636E-09  1.069E-13  8.565E-20  6.218E-14  3.770E-13  2.340E-15
 112   2.991E+02   2.559E-06  4.238E-13  6.922E-09  6.547E-10  4.284E-09  6.681E-14  5.042E-20  2.602E-13  2.291E-12  1.605E-15
 113   2.705E+02   1.970E-06  2.900E-13  5.342E-09  4.790E-10  3.284E-09  4.138E-14  2.946E-20  5.247E-12  5.356E-11  1.839E-15
 114   2.447E+02   1.511E-06  1.976E-13  4.114E-09  5.740E-10  2.548E-09  3.051E-14  2.119E-20  7.472E-11  8.491E-10  1.582E-14
 115   2.213E+02   1.154E-06  1.338E-13  3.162E-09  2.350E-09  2.008E-09  6.429E-14  4.674E-20  6.574E-10  8.326E-09  1.808E-13
 116   2.001E+02   8.765E-07  9.005E-14  2.422E-09  1.184E-08  1.608E-09  2.814E-13  1.990E-19  3.705E-09  5.247E-08  1.389E-12
 117   1.811E+02   6.631E-07  6.033E-14  1.853E-09  4.318E-08  1.306E-09  1.011E-12  6.756E-19  1.394E-08  2.214E-07  7.196E-12
 118   1.638E+02   4.995E-07  4.020E-14  1.414E-09  1.121E-07  1.076E-09  2.633E-12  1.655E-18  3.694E-08  6.607E-07  2.649E-11
 119   1.482E+02   3.753E-07  2.671E-14  1.080E-09  2.181E-07  8.996E-10  5.180E-12  3.063E-18  7.329E-08  1.481E-06  7.350E-11
 120   1.340E+02   2.812E-07  1.769E-14  8.250E-10  3.375E-07  7.613E-10  8.174E-12  4.547E-18  1.159E-07  2.649E-06  1.636E-10
 121   1.212E+02   2.115E-07  1.179E-14  6.352E-10  4.336E-07  6.553E-10  1.088E-11  5.701E-18  1.536E-07  3.956E-06  3.047E-10
 122   1.096E+02   1.609E-07  7.979E-15  4.979E-10  4.821E-07  5.778E-10  1.314E-11  6.500E-18  1.837E-07  5.166E-06  4.957E-10
 123   9.912E+01   1.240E-07  5.492E-15  3.920E-10  4.985E-07  5.257E-10  1.671E-11  7.813E-18  2.300E-07  6.195E-06  7.282E-10
 124   8.963E+01   9.940E-08  3.984E-15  3.250E-10  4.703E-07  5.043E-10  2.575E-11  1.147E-17  3.468E-07  6.920E-06  9.883E-10
 125   8.112E+01   8.243E-08  3.037E-15  2.783E-10  4.304E-07  5.141E-10  5.252E-11  2.234E-17  6.902E-07  7.426E-06  1.260E-09
 126   7.338E+01   7.354E-08  2.564E-15  2.628E-10  3.694E-07  5.783E-10  1.241E-10  5.112E-17  1.588E-06  7.710E-06  1.531E-09
 127   6.637E+01   7.222E-08  2.476E-15  2.834E-10  2.995E-07  7.357E-10  2.974E-10  1.209E-16  3.704E-06  7.868E-06  1.787E-09
 128   6.001E+01   8.012E-08  2.801E-15  3.616E-10  2.287E-07  1.075E-09  6.731E-10  2.778E-16  8.144E-06  8.019E-06  2.017E-09
 129   5.430E+01   9.411E-08  3.469E-15  4.923E-10  1.824E-07  1.718E-09  1.381E-09  5.817E-16  1.630E-05  8.329E-06  2.209E-09
 130   4.908E+01   1.288E-07  5.024E-15  8.347E-10  1.305E-07  3.070E-09  2.624E-09  1.188E-15  3.008E-05  8.774E-06  2.354E-09
 131   4.441E+01   1.797E-07  7.438E-15  1.425E-09  9.879E-08  5.586E-09  4.539E-09  2.217E-15  5.079E-05  9.507E-06  2.462E-09
 132   4.019E+01   2.591E-07  1.120E-14  2.489E-09  7.584E-08  1.022E-08  7.266E-09  3.889E-15  7.951E-05  1.054E-05  2.538E-09
 133   3.635E+01   3.910E-07  1.718E-14  4.575E-09  5.637E-08  1.872E-08  1.094E-08  6.582E-15  1.168E-04  1.187E-05  2.572E-09
 134   3.288E+01   5.811E-07  2.551E-14  8.047E-09  4.338E-08  3.311E-08  1.555E-08  1.054E-14  1.624E-04  1.355E-05  2.586E-09
 135   2.974E+01   8.766E-07  3.744E-14  1.423E-08  3.299E-08  5.747E-08  2.122E-08  1.644E-14  2.163E-04  1.559E-05  2.568E-09
 136   2.692E+01   1.267E-06  5.213E-14  2.327E-08  2.646E-08  9.486E-08  2.780E-08  2.441E-14  2.775E-04  1.805E-05  2.548E-09
 137   2.433E+01   1.890E-06  7.292E-14  3.976E-08  2.024E-08  1.549E-07  3.554E-08  3.621E-14  3.454E-04  2.085E-05  2.471E-09
 138   1.752E+01   6.084E-06  1.814E-13  1.802E-07  1.077E-08  6.321E-07  6.811E-08  1.130E-13  6.058E-04  3.330E-05  2.122E-09
 139   1.251E+01   1.739E-05  3.820E-13  6.820E-07  7.932E-09  2.063E-06  1.121E-07  3.199E-13  8.945E-04  5.202E-05  1.580E-09
 140   8.952E+00   3.779E-05  6.364E-13  1.613E-06  8.518E-09  5.628E-06  1.574E-07  7.530E-13  1.146E-03  8.187E-05  1.154E-09
 141   6.407E+00   6.543E-05  9.019E-13  2.511E-06  1.125E-08  1.443E-05  1.908E-07  1.492E-12  1.300E-03  1.335E-04  8.864E-10
 142   4.584E+00   9.953E-05  1.210E-12  3.034E-06  1.720E-08  3.943E-05  2.093E-07  2.674E-12  1.363E-03  2.271E-04  7.220E-10
 143   3.283E+00   1.403E-04  1.576E-12  3.053E-06  3.124E-08  1.249E-04  2.210E-07  4.577E-12  1.412E-03  4.038E-04  6.400E-10
 144   2.351E+00   1.836E-04  1.917E-12  2.727E-06  6.463E-08  4.574E-04  2.440E-07  7.987E-12  1.544E-03  6.976E-04  5.812E-10
 145   1.684E+00   2.345E-04  2.325E-12  2.450E-06  1.583E-07  2.003E-03  3.263E-07  1.710E-11  2.048E-03  1.198E-03  5.364E-10
 146   1.207E+00   2.757E-04  2.525E-12  2.010E-06  4.865E-07  9.787E-03  6.472E-07  5.268E-11  4.071E-03  2.027E-03  5.968E-10
 147   8.644E-01   2.853E-04  2.295E-12  1.428E-06  1.883E-06  5.187E-02  1.784E-06  2.147E-10  1.141E-02  3.440E-03  1.139E-09
 148   6.189E-01   2.575E-04  1.730E-12  8.689E-07  9.121E-06  3.054E-01  5.420E-06  9.165E-10  3.568E-02  6.568E-03  4.696E-09
 149   4.433E-01   2.013E-04  1.064E-12  4.376E-07  4.630E-05  1.713E+00  1.622E-05  3.623E-09  1.106E-01  1.551E-02  2.854E-08
 150   3.176E-01   1.466E-04  6.132E-13  1.997E-07  2.277E-04  9.416E+00  5.087E-05  1.477E-08  3.612E-01  4.704E-02  2.165E-07
 151   2.273E-01   1.055E-04  3.656E-13  8.455E-08  1.082E-03  5.229E+01  1.681E-04  6.286E-08  1.253E+00  1.707E-01  2.026E-06
 152   1.626E-01   9.341E-05  2.752E-13  3.187E-08  4.859E-03  2.698E+02  5.903E-04  2.700E-07  4.616E+00  6.786E-01  1.997E-05
 153   1.163E-01   6.435E-05  1.667E-13  1.088E-08  2.013E-02  1.201E+03  2.448E-03  1.261E-06  1.964E+01  2.876E+00  1.741E-04
 154   8.334E-02   3.974E-05  9.369E-14  3.755E-09  7.125E-02  4.233E+03  1.274E-02  6.771E-06  1.012E+02  1.195E+01  1.110E-03
 155   5.961E-02   1.984E-05  4.402E-14  1.290E-09  2.052E-01  1.118E+04  7.045E-02  3.594E-05  5.364E+02  4.485E+01  4.594E-03
 156   4.263E-02   7.122E-06  1.523E-14  3.638E-10  4.240E-01  2.035E+04  2.940E-01  1.353E-04  2.070E+03  1.303E+02  1.066E-02
 157   3.049E-02   1.688E-06  3.494E-15  6.331E-11  5.697E-01  2.478E+04  7.477E-01  2.977E-04  4.735E+03  2.592E+02  1.304E-02
 158   2.183E-02   2.754E-07  5.411E-16  6.587E-12  5.044E-01  2.129E+04  1.136E+00  3.839E-04  6.363E+03  3.432E+02  8.863E-03
 159   1.562E-02   3.791E-08  7.021E-17  5.444E-13  3.605E-01  1.531E+04  1.333E+00  3.745E-04  6.464E+03  3.635E+02  4.477E-03
 160   1.119E-02   6.256E-09  1.045E-17  5.554E-14  2.769E-01  1.124E+04  1.716E+00  3.976E-04  7.055E+03  4.027E+02  2.391E-03
 161   8.025E-03   1.482E-09  2.145E-18  8.627E-15  2.624E-01  9.246E+03  2.947E+00  5.590E-04  9.958E+03  5.656E+02  1.694E-03
 162   5.761E-03   4.430E-10  5.329E-19  2.035E-15  2.763E-01  7.749E+03  5.933E+00  9.176E-04  1.596E+04  9.150E+02  1.371E-03
 163   4.146E-03   1.458E-10  1.440E-19  6.168E-16  3.062E-01  6.066E+03  1.295E+01  1.663E-03  2.745E+04  1.632E+03  1.274E-03
 164   2.991E-03   4.507E-11  3.584E-20  1.960E-16  3.091E-01  3.292E+03  2.603E+01  2.897E-03  4.461E+04  2.743E+03  1.155E-03
 165   2.166E-03   1.108E-11  6.883E-21  4.617E-17  2.137E-01  2.921E+02  3.550E+01  3.557E-03  5.073E+04  3.288E+03  7.547E-04
 166   1.575E-03   1.569E-12  7.116E-22  3.618E-18  7.855E-02  2.710E+01  2.047E+01  1.866E-03  2.451E+04  1.767E+03  2.034E-04
 167   1.148E-03   1.715E-13  5.398E-23  1.768E-19  2.444E-02  6.093E+00  9.715E+00  8.393E-04  1.007E+04  7.435E+02  4.415E-05
 168   8.405E-04   1.662E-14  3.482E-24  7.045E-21  7.062E-03  1.774E+00  4.196E+00  3.544E-04  3.861E+03  2.784E+02  8.693E-06
 169   6.172E-04   1.503E-15  1.993E-25  2.668E-22  1.953E-03  5.839E-01  1.702E+00  1.438E-04  1.414E+03  9.621E+01  1.552E-06
 170   4.549E-04   1.294E-16  6.849E-28  9.725E-24  5.284E-04  2.087E-01  6.426E-01  5.604E-05  4.940E+02  3.084E+01  2.589E-07
 171   3.363E-04   1.072E-17  3.528E-29  3.641E-25  1.455E-04  8.013E-02  2.240E-01  2.086E-05  1.634E+02  9.123E+00  3.958E-08
