Index  PRESSURE   C2H        C2H2       C2H3       C2H4       C2H5       C2H6       C3H2       C3H3       CH3C2H     CH2CCH2 
 155  1.086E-01   4.167E+00  1.072E+04  7.381E-03  2.246E-02  9.149E-09  2.007E-09  1.852E-06  1.086E-06  1.753E-08  7.008E-09
 156  8.022E-02   1.320E+00  2.073E+03  1.470E-03  3.078E-03  1.034E-09  1.637E-10  5.737E-08  3.428E-08  4.246E-10  1.711E-10
 157  5.817E-02   3.220E-01  3.285E+02  2.352E-04  3.533E-04  9.634E-11  1.154E-11  2.944E-09  1.814E-09  1.767E-11  7.170E-12
 158  4.228E-02   6.231E-02  4.231E+01  3.136E-05  3.457E-05  7.470E-12  6.932E-13  1.430E-10  9.757E-11  7.649E-13  3.123E-13
 159  3.077E-02   9.776E-03  4.398E+00  3.646E-06  2.976E-06  4.837E-13  3.545E-14  4.986E-12  4.471E-12  2.907E-14  1.195E-14
 160  2.249E-02   1.234E-03  3.578E-01  3.761E-07  2.260E-07  2.568E-14  1.514E-15  1.129E-13  1.723E-13  9.619E-16  3.986E-16
 161  1.644E-02   1.193E-04  2.373E-02  2.946E-08  1.343E-08  1.107E-15  5.363E-17  2.539E-15  5.885E-15  2.832E-17  1.180E-17
 162  1.201E-02   9.540E-06  1.385E-03  1.898E-09  6.806E-10  4.436E-17  1.822E-18  6.622E-17  2.100E-16  8.781E-19  3.673E-19
 163  8.770E-03   1.099E-06  1.225E-04  1.735E-10  5.057E-11  5.073E-18  1.886E-19  5.244E-18  2.040E-17  7.433E-20  3.120E-20
 164  6.400E-03   2.535E-06  2.288E-04  3.106E-10  7.765E-11  5.698E-17  1.856E-18  4.920E-17  2.060E-16  6.551E-19  2.758E-19
 165  4.671E-03   1.576E-05  1.173E-03  1.571E-09  4.079E-10  2.466E-15  6.857E-17  1.833E-15  8.648E-15  2.448E-17  1.034E-17
 166  3.409E-03   8.904E-05  5.409E-03  8.221E-09  3.995E-09  7.590E-14  1.820E-15  4.539E-14  2.706E-13  6.927E-16  2.941E-16
 167  2.492E-03   4.525E-04  2.220E-02  5.229E-08  5.902E-08  1.495E-12  3.117E-14  7.503E-13  6.041E-12  1.411E-14  6.071E-15
 168  1.823E-03   2.245E-03  8.833E-02  4.407E-07  7.318E-07  1.933E-11  3.519E-13  9.514E-12  1.065E-10  2.271E-13  1.020E-13
 169  1.337E-03   1.157E-02  3.635E-01  3.665E-06  6.376E-06  1.676E-10  2.661E-12  1.035E-10  1.601E-09  3.106E-12  1.522E-12
 170  9.812E-04   5.585E-02  1.399E+00  2.234E-05  3.610E-05  9.304E-10  1.284E-11  8.777E-10  1.808E-08  3.170E-11  1.735E-11
