Index PRESSURE   CH2OH      CH3O       CH3OH      HCCO       H2CCO      C2H3O      CH3CHO     C2H4OH     HO2        H2O2    
 134  2.188E+01   1.047E+00  1.528E-03  3.632E+02  1.722E-03  4.368E+01  1.021E-03  6.961E-02  8.032E-08  5.010E-07  5.311E-05
 135  1.980E+01   1.037E+00  1.360E-03  3.321E+02  1.659E-03  3.879E+01  9.053E-04  6.167E-02  8.219E-08  4.886E-07  5.134E-05
 136  1.793E+01   1.051E+00  1.247E-03  3.064E+02  1.653E-03  3.501E+01  8.136E-04  5.478E-02  8.288E-08  4.943E-07  5.103E-05
 137  1.621E+01   1.091E+00  1.180E-03  2.847E+02  1.682E-03  3.172E+01  7.413E-04  4.993E-02  8.371E-08  5.104E-07  5.232E-05
 138  1.467E+01   1.148E+00  1.146E-03  2.659E+02  1.758E-03  2.916E+01  6.813E-04  4.522E-02  8.275E-08  5.424E-07  5.458E-05
 139  1.328E+01   1.225E+00  1.144E-03  2.492E+02  1.864E-03  2.688E+01  6.326E-04  4.175E-02  8.162E-08  5.844E-07  5.822E-05
 140  1.201E+01   1.322E+00  1.169E-03  2.343E+02  2.025E-03  2.510E+01  5.917E-04  3.820E-02  7.899E-08  6.461E-07  6.300E-05
 141  1.087E+01   1.446E+00  1.228E-03  2.212E+02  2.258E-03  2.375E+01  5.578E-04  3.474E-02  7.545E-08  7.354E-07  6.945E-05
 142  7.742E+00   1.985E+00  1.601E-03  1.801E+02  3.421E-03  1.993E+01  4.654E-04  2.516E-02  5.985E-08  1.204E-06  1.015E-04
 143  5.562E+00   2.800E+00  2.377E-03  1.474E+02  5.786E-03  1.787E+01  3.999E-04  1.675E-02  4.089E-08  2.294E-06  1.580E-04
 144  4.003E+00   4.051E+00  3.909E-03  1.221E+02  1.092E-02  1.724E+01  3.398E-04  9.014E-03  2.249E-08  5.315E-06  2.475E-04
 145  2.883E+00   5.921E+00  6.820E-03  1.020E+02  2.150E-02  1.721E+01  2.792E-04  4.008E-03  1.036E-08  1.420E-05  3.779E-04
 146  2.077E+00   8.760E+00  1.252E-02  8.535E+01  4.332E-02  1.740E+01  2.204E-04  1.489E-03  4.177E-09  4.335E-05  5.657E-04
 147  1.499E+00   1.262E+01  2.307E-02  6.903E+01  8.327E-02  1.683E+01  1.647E-04  5.010E-04  1.615E-09  1.376E-04  8.367E-04
 148  1.081E+00   1.638E+01  3.918E-02  5.083E+01  1.383E-01  1.441E+01  1.122E-04  1.629E-04  6.380E-10  4.014E-04  1.207E-03
 149  7.792E-01   1.779E+01  5.675E-02  3.207E+01  1.852E-01  1.032E+01  6.576E-05  4.927E-05  2.508E-10  1.040E-03  1.679E-03
 150  5.611E-01   1.458E+01  6.278E-02  1.566E+01  1.823E-01  5.619E+00  3.028E-05  1.282E-05  8.755E-11  2.360E-03  2.269E-03
 151  4.042E-01   8.263E+00  4.796E-02  5.439E+00  1.260E-01  2.237E+00  9.764E-06  2.308E-06  2.333E-11  5.054E-03  2.850E-03
 152  2.912E-01   2.938E+00  2.258E-02  1.224E+00  5.813E-02  6.231E-01  2.070E-06  2.745E-07  4.956E-12  1.000E-02  3.354E-03
 153  2.095E-01   6.211E-01  6.130E-03  1.695E-01  1.970E-02  1.355E-01  2.983E-07  2.069E-08  9.659E-13  1.828E-02  3.659E-03
 154  1.509E-01   7.879E-02  9.672E-04  1.458E-02  6.404E-03  3.020E-02  3.808E-08  1.004E-09  1.739E-13  3.200E-02  3.681E-03
 155  1.086E-01   7.265E-03  1.072E-04  9.444E-04  2.183E-03  7.321E-03  6.121E-09  4.270E-11  2.633E-14  5.160E-02  3.475E-03
 156  8.022E-02   9.603E-04  1.647E-05  9.131E-05  6.495E-04  1.589E-03  1.079E-09  3.107E-12  3.269E-15  7.484E-02  3.171E-03
 157  5.817E-02   2.545E-04  4.923E-06  1.829E-05  1.570E-04  2.879E-04  1.652E-10  3.906E-13  3.274E-16  9.871E-02  2.709E-03
 158  4.228E-02   8.423E-05  1.810E-06  4.675E-06  3.108E-05  4.350E-05  2.137E-11  5.800E-14  2.728E-17  1.269E-01  2.221E-03
 159  3.077E-02   3.001E-05  7.136E-07  1.306E-06  5.368E-06  5.769E-06  2.482E-12  9.517E-15  1.931E-18  1.693E-01  1.736E-03
