Index  PRESSURE   C6H6       O          O(1D      O2         OH         H2O        CO         CO2        HCO        H2CO    
 105  4.010E+02   3.126E-14  8.180E+04  2.302E-02  1.504E+01  1.713E+09  6.211E+14  8.595E+14  1.195E+11  2.423E+07  1.265E+08
 106  3.630E+02   2.831E-14  6.114E+04  1.539E-02  1.127E+01  1.387E+09  5.665E+14  7.839E+14  1.109E+11  1.922E+07  1.047E+08
 107  3.282E+02   2.448E-14  4.329E+04  9.543E-03  8.002E+00  1.089E+09  5.169E+14  7.153E+14  1.033E+11  1.500E+07  8.667E+07
 108  2.968E+02   2.123E-14  3.047E+04  5.867E-03  5.648E+00  8.516E+08  4.716E+14  6.526E+14  9.637E+10  1.168E+07  7.177E+07
 109  2.685E+02   1.829E-14  2.131E+04  3.575E-03  3.960E+00  6.640E+08  4.307E+14  5.960E+14  8.995E+10  9.090E+06  5.952E+07
 110  2.429E+02   1.532E-14  1.441E+04  2.080E-03  2.687E+00  5.082E+08  3.935E+14  5.446E+14  8.417E+10  7.004E+06  4.937E+07
 111  2.196E+02   1.271E-14  9.669E+03  1.198E-03  1.809E+00  3.870E+08  3.593E+14  4.972E+14  7.877E+10  5.378E+06  4.093E+07
 112  1.986E+02   1.024E-14  6.262E+03  6.563E-04  1.176E+00  2.891E+08  3.285E+14  4.547E+14  7.398E+10  4.093E+06  3.399E+07
 113  1.797E+02   8.280E-15  4.130E+03  3.689E-04  7.780E-01  2.182E+08  3.003E+14  4.156E+14  6.942E+10  3.132E+06  2.824E+07
 114  1.624E+02   6.611E-15  2.626E+03  1.970E-04  4.964E-01  1.612E+08  2.745E+14  3.799E+14  6.526E+10  2.369E+06  2.344E+07
 115  1.469E+02   5.326E-15  1.701E+03  1.080E-04  3.228E-01  1.204E+08  2.509E+14  3.472E+14  6.130E+10  1.802E+06  1.946E+07
 116  1.329E+02   4.369E-15  1.125E+03  6.092E-05  2.141E-01  9.094E+07  2.292E+14  3.172E+14  5.748E+10  1.379E+06  1.615E+07
 117  1.202E+02   3.660E-15  7.382E+02  3.400E-05  1.410E-01  6.841E+07  2.094E+14  2.898E+14  5.392E+10  1.053E+06  1.340E+07
 118  1.087E+02   3.122E-15  4.953E+02  1.957E-05  9.496E-02  5.210E+07  1.912E+14  2.646E+14  5.050E+10  8.096E+05  1.112E+07
 119  9.839E+01   2.720E-15  3.402E+02  1.163E-05  6.541E-02  4.020E+07  1.745E+14  2.415E+14  4.722E+10  6.265E+05  9.219E+06
 120  8.897E+01   2.487E-15  2.330E+02  6.877E-06  4.494E-02  3.095E+07  1.592E+14  2.203E+14  4.414E+10  4.842E+05  7.633E+06
 121  8.048E+01   2.367E-15  1.635E+02  4.209E-06  3.162E-02  2.416E+07  1.452E+14  2.009E+14  4.118E+10  3.771E+05  6.321E+06
 122  7.280E+01   2.411E-15  1.177E+02  2.671E-06  2.284E-02  1.913E+07  1.323E+14  1.831E+14  3.833E+10  2.956E+05  5.227E+06
 123  6.584E+01   2.802E-15  8.529E+01  1.702E-06  1.660E-02  1.519E+07  1.205E+14  1.668E+14  3.567E+10  2.326E+05  4.320E+06
 124  5.958E+01   3.746E-15  6.494E+01  1.168E-06  1.266E-02  1.241E+07  1.098E+14  1.519E+14  3.306E+10  1.852E+05  3.569E+06
 125  5.390E+01   6.363E-15  4.984E+01  8.068E-07  9.741E-03  1.018E+07  9.990E+13  1.383E+14  3.063E+10  1.482E+05  2.946E+06
 126  4.874E+01   1.346E-14  3.856E+01  5.610E-07  7.554E-03  8.379E+06  9.089E+13  1.258E+14  2.837E+10  1.190E+05  2.430E+06
 127  4.408E+01   3.135E-14  3.078E+01  4.075E-07  6.043E-03  7.019E+06  8.264E+13  1.144E+14  2.621E+10  9.639E+04  2.002E+06
 128  3.987E+01   7.283E-14  2.544E+01  3.104E-07  5.004E-03  5.994E+06  7.510E+13  1.039E+14  2.414E+10  7.894E+04  1.648E+06
 129  3.608E+01   1.605E-13  2.177E+01  2.479E-07  4.287E-03  5.220E+06  6.823E+13  9.444E+13  2.220E+10  6.533E+04  1.356E+06
 130  3.264E+01   3.256E-13  1.909E+01  2.029E-07  3.766E-03  4.601E+06  6.196E+13  8.576E+13  2.039E+10  5.471E+04  1.116E+06
 131  2.953E+01   6.135E-13  1.736E+01  1.745E-07  3.429E-03  4.138E+06  5.623E+13  7.783E+13  1.868E+10  4.633E+04  9.170E+05
 132  2.672E+01   1.052E-12  1.641E+01  1.581E-07  3.244E-03  3.803E+06  5.100E+13  7.059E+13  1.707E+10  3.969E+04  7.530E+05
 133  2.417E+01   1.682E-12  1.600E+01  1.478E-07  3.167E-03  3.549E+06  4.625E+13  6.401E+13  1.558E+10  3.452E+04  6.178E+05
 134  2.188E+01   2.496E-12  1.625E+01  1.459E-07  3.219E-03  3.388E+06  4.192E+13  5.803E+13  1.419E+10  3.043E+04  5.071E+05
 135  1.980E+01   3.455E-12  1.718E+01  1.521E-07  3.403E-03  3.306E+06  3.797E+13  5.255E+13  1.289E+10  2.715E+04  4.157E+05
 136  1.793E+01   4.499E-12  1.885E+01  1.669E-07  3.735E-03  3.296E+06  3.438E+13  4.759E+13  1.168E+10  2.451E+04  3.408E+05
 137  1.621E+01   5.608E-12  2.137E+01  1.892E-07  4.235E-03  3.338E+06  3.109E+13  4.304E+13  1.056E+10  2.244E+04  2.787E+05
 138  1.467E+01   6.578E-12  2.490E+01  2.236E-07  4.934E-03  3.435E+06  2.812E+13  3.892E+13  9.526E+09  2.068E+04  2.280E+05
 139  1.328E+01   7.386E-12  2.969E+01  2.704E-07  5.881E-03  3.575E+06  2.542E+13  3.518E+13  8.586E+09  1.927E+04  1.864E+05
 140  1.201E+01   7.859E-12  3.629E+01  3.401E-07  7.184E-03  3.776E+06  2.296E+13  3.179E+13  7.721E+09  1.804E+04  1.522E+05
 141  1.087E+01   7.963E-12  4.566E+01  4.462E-07  9.032E-03  4.056E+06  2.074E+13  2.871E+13  6.928E+09  1.702E+04  1.244E+05
 142  7.742E+00   6.449E-12  1.067E+02  1.232E-06  2.103E-02  5.365E+06  1.463E+13  2.025E+13  4.747E+09  1.419E+04  6.209E+04
 143  5.562E+00   3.307E-12  2.823E+02  4.219E-06  5.531E-02  7.689E+06  1.035E+13  1.433E+13  3.218E+09  1.211E+04  3.127E+04
 144  4.003E+00   1.004E-12  8.322E+02  1.841E-05  1.616E-01  1.188E+07  7.285E+12  1.009E+13  2.120E+09  1.012E+04  1.558E+04
 145  2.883E+00   2.262E-13  2.565E+03  9.208E-05  4.928E-01  1.903E+07  5.096E+12  7.056E+12  1.368E+09  8.189E+03  7.682E+03
 146  2.077E+00   5.599E-14  8.210E+03  5.155E-04  1.558E+00  3.139E+07  3.548E+12  4.913E+12  8.689E+08  6.451E+03  3.756E+03
 147  1.499E+00   2.202E-14  2.623E+04  2.928E-03  4.917E+00  5.187E+07  2.468E+12  3.418E+12  5.506E+08  5.022E+03  1.841E+03
 148  1.081E+00   1.012E-14  7.874E+04  1.487E-02  1.460E+01  8.235E+07  1.718E+12  2.380E+12  3.525E+08  3.877E+03  9.143E+02
 149  7.792E-01   3.522E-15  2.172E+05  6.520E-02  3.991E+01  1.242E+08  1.200E+12  1.663E+12  2.290E+08  2.959E+03  4.716E+02
 150  5.611E-01   6.219E-16  5.519E+05  2.452E-01  1.006E+02  1.776E+08  8.407E+11  1.165E+12  1.510E+08  2.229E+03  2.535E+02
 151  4.042E-01   3.401E-17  1.290E+06  8.381E-01  2.337E+02  2.431E+08  5.891E+11  8.170E+11  9.995E+07  1.640E+03  1.361E+02
 152  2.912E-01   4.822E-19  2.764E+06  2.553E+00  4.981E+02  3.172E+08  4.131E+11  5.733E+11  6.661E+07  1.196E+03  6.690E+01
 153  2.095E-01   1.659E-21  5.388E+06  6.900E+00  9.671E+02  3.931E+08  2.898E+11  4.025E+11  4.464E+07  8.777E+02  3.081E+01
 154  1.509E-01   2.031E-30  9.644E+06  1.710E+01  1.727E+03  4.664E+08  2.033E+11  2.826E+11  3.000E+07  6.737E+02  1.570E+01
 155  1.086E-01   8.110E-33  1.581E+07  3.769E+01  2.829E+03  5.272E+08  1.427E+11  1.987E+11  2.030E+07  5.353E+02  9.162E+00
 156  8.022E-02   6.230E-35  2.361E+07  7.226E+01  4.230E+03  5.646E+08  1.004E+11  1.401E+11  1.389E+07  4.277E+02  5.679E+00
 157  5.817E-02   2.880E-37  3.244E+07  1.224E+02  5.834E+03  5.764E+08  7.074E+10  9.900E+10  9.598E+06  3.348E+02  3.542E+00
 158  4.228E-02   0.000E+00  4.242E+07  1.971E+02  7.669E+03  5.737E+08  4.982E+10  6.998E+10  6.649E+06  2.699E+02  2.331E+00
 159  3.077E-02   0.000E+00  5.373E+07  3.198E+02  9.768E+03  5.643E+08  3.489E+10  4.927E+10  4.567E+06  2.389E+02  1.742E+00
 160  2.249E-02   0.000E+00  6.677E+07  5.469E+02  1.219E+04  5.546E+08  2.426E+10  3.453E+10  3.095E+06  2.476E+02  1.592E+00
 161  1.644E-02   0.000E+00  7.799E+07  8.247E+02  1.433E+04  5.231E+08  1.690E+10  2.429E+10  2.126E+06  2.348E+02  1.330E+00
 162  1.201E-02   0.000E+00  8.545E+07  1.097E+03  1.582E+04  4.734E+08  1.181E+10  1.716E+10  1.480E+06  2.036E+02  1.018E+00
 163  8.770E-03   0.000E+00  8.924E+07  1.316E+03  1.666E+04  4.147E+08  8.270E+09  1.218E+10  1.042E+06  1.614E+02  7.104E-01
 164  6.400E-03   0.000E+00  8.908E+07  1.419E+03  1.680E+04  3.521E+08  5.813E+09  8.679E+09  7.441E+05  1.156E+02  4.444E-01
 165  4.671E-03   0.000E+00  8.565E+07  1.473E+03  1.630E+04  2.932E+08  4.081E+09  6.190E+09  5.310E+05  8.389E+01  2.882E-01
 166  3.409E-03   0.000E+00  8.124E+07  1.559E+03  1.556E+04  2.429E+08  2.846E+09  4.399E+09  3.753E+05  6.498E+01  2.097E-01
 167  2.492E-03   0.000E+00  7.665E+07  1.678E+03  1.474E+04  2.008E+08  1.972E+09  3.122E+09  2.635E+05  5.246E+01  1.853E-01
 168  1.823E-03   0.000E+00  7.220E+07  1.837E+03  1.390E+04  1.656E+08  1.357E+09  2.213E+09  1.842E+05  4.316E+01  2.409E-01
 169  1.337E-03   0.000E+00  6.808E+07  2.042E+03  1.310E+04  1.361E+08  9.267E+08  1.569E+09  1.285E+05  3.555E+01  4.560E-01
