Index	PRESSURE   HC3N       C2H2CN     C2H3CN     NO         NO2        N2O        HNO        HNO2       NCO        HNCO    
 122  1.096E+02   8.293E-01  4.176E-07  8.405E-01  7.359E+03  2.140E-09  3.279E-03  3.611E-01  7.385E-08  3.384E+00  1.586E+07
 123  9.912E+01   6.538E-01  2.968E-07  7.149E-01  5.544E+03  1.360E-09  2.287E-03  2.560E-01  4.963E-08  2.502E+00  1.386E+07
 124  8.963E+01   5.268E-01  2.171E-07  6.221E-01  4.247E+03  8.794E-10  1.635E-03  1.838E-01  3.418E-08  1.858E+00  1.211E+07
 125  8.112E+01   4.414E-01  1.660E-07  5.559E-01  3.358E+03  5.944E-10  1.217E-03  1.357E-01  2.446E-08  1.409E+00  1.061E+07
 126  7.338E+01   3.871E-01  1.345E-07  5.202E-01  2.788E+03  4.230E-10  9.668E-04  1.026E-01  1.863E-08  1.079E+00  9.288E+06
 127  6.637E+01   3.596E-01  1.174E-07  5.163E-01  2.522E+03  3.297E-10  8.565E-04  8.028E-02  1.574E-08  8.398E-01  8.121E+06
 128  6.001E+01   3.563E-01  1.119E-07  5.464E-01  2.595E+03  2.950E-10  8.946E-04  6.605E-02  1.555E-08  6.691E-01  7.096E+06
 129  5.430E+01   3.779E-01  1.166E-07  6.051E-01  3.066E+03  3.128E-10  1.107E-03  5.796E-02  1.786E-08  5.587E-01  6.240E+06
 130  4.908E+01   4.165E-01  1.310E-07  7.027E-01  4.037E+03  3.716E-10  1.612E-03  5.446E-02  2.395E-08  4.784E-01  5.463E+06
 131  4.441E+01   4.756E-01  1.555E-07  8.256E-01  5.631E+03  4.832E-10  2.557E-03  5.460E-02  3.441E-08  4.296E-01  4.817E+06
 132  4.019E+01   5.512E-01  1.913E-07  9.718E-01  8.029E+03  6.570E-10  4.272E-03  5.797E-02  5.147E-08  4.001E-01  4.260E+06
 133  3.635E+01   6.387E-01  2.401E-07  1.139E+00  1.146E+04  9.067E-10  7.348E-03  6.467E-02  7.906E-08  3.817E-01  3.765E+06
 134  3.288E+01   7.374E-01  3.038E-07  1.314E+00  1.621E+04  1.263E-09  1.267E-02  7.461E-02  1.210E-07  3.732E-01  3.336E+06
 135  2.974E+01   8.434E-01  3.847E-07  1.497E+00  2.272E+04  1.761E-09  2.190E-02  8.866E-02  1.864E-07  3.701E-01  2.957E+06
 136  2.692E+01   9.549E-01  4.842E-07  1.673E+00  3.140E+04  2.457E-09  3.735E-02  1.069E-01  2.821E-07  3.726E-01  2.630E+06
 137  2.433E+01   1.058E+00  6.023E-07  1.844E+00  4.286E+04  3.396E-09  6.418E-02  1.308E-01  4.297E-07  3.746E-01  2.328E+06
 138  1.752E+01   1.370E+00  1.147E-06  2.314E+00  1.018E+05  8.896E-09  3.031E-01  2.611E-01  1.465E-06  3.903E-01  1.566E+06
 139  1.251E+01   1.521E+00  1.902E-06  2.530E+00  2.316E+05  2.393E-08  1.369E+00  5.313E-01  4.927E-06  3.990E-01  1.032E+06
 140  8.952E+00   1.606E+00  2.838E-06  2.447E+00  4.823E+05  6.143E-08  5.402E+00  1.078E+00  1.457E-05  4.165E-01  6.839E+05
 141  6.407E+00   1.739E+00  4.069E-06  2.176E+00  9.171E+05  1.451E-07  1.888E+01  2.249E+00  3.742E-05  4.553E-01  4.571E+05
 142  4.584E+00   2.025E+00  5.884E-06  1.854E+00  1.609E+06  3.139E-07  6.036E+01  4.934E+00  8.519E-05  5.232E-01  3.063E+05
 143  3.283E+00   2.648E+00  8.781E-06  1.553E+00  2.678E+06  6.199E-07  1.806E+02  1.126E+01  1.728E-04  6.284E-01  2.051E+05
 144  2.351E+00   3.735E+00  1.266E-05  1.276E+00  4.079E+06  1.023E-06  4.712E+02  2.408E+01  2.900E-04  7.337E-01  1.357E+05
 145  1.684E+00   5.665E+00  1.784E-05  1.046E+00  5.789E+06  1.438E-06  1.105E+03  4.853E+01  4.153E-04  8.151E-01  8.709E+04
 146  1.207E+00   9.031E+00  2.417E-05  8.573E-01  7.332E+06  1.629E-06  2.130E+03  8.620E+01  4.776E-04  8.387E-01  5.371E+04
 147  8.644E-01   1.454E+01  3.109E-05  7.054E-01  7.980E+06  1.460E-06  3.131E+03  1.275E+02  4.335E-04  7.718E-01  3.127E+04
 148  6.189E-01   2.328E+01  3.846E-05  5.865E-01  7.488E+06  1.070E-06  3.411E+03  1.528E+02  3.209E-04  6.170E-01  1.658E+04
 149  4.433E-01   3.485E+01  4.376E-05  4.784E-01  6.195E+06  6.692E-07  2.718E+03  1.415E+02  2.020E-04  4.149E-01  7.868E+03
 150  3.176E-01   4.856E+01  4.578E-05  3.753E-01  4.748E+06  3.770E-07  1.659E+03  1.026E+02  1.155E-04  2.293E-01  3.172E+03
 151  2.273E-01   6.408E+01  4.410E-05  2.772E-01  3.432E+06  1.937E-07  7.517E+02  5.612E+01  6.114E-05  1.032E-01  1.024E+03
 152  1.626E-01   8.280E+01  3.925E-05  1.897E-01  2.296E+06  8.979E-08  2.200E+02  2.082E+01  2.944E-05  4.156E-02  2.615E+02
 153  1.163E-01   1.020E+02  3.318E-05  1.222E-01  1.350E+06  3.619E-08  3.411E+01  4.607E+00  1.234E-05  2.165E-02  6.317E+01
 154  8.334E-02   1.082E+02  2.757E-05  7.808E-02  6.946E+05  1.265E-08  2.869E+00  6.742E-01  4.530E-06  1.766E-02  2.400E+01
 155  5.961E-02   9.963E+01  2.410E-05  5.316E-02  3.287E+05  4.012E-09  1.576E-01  1.080E-01  1.525E-06  1.644E-02  1.374E+01
 156  4.263E-02   8.621E+01  2.306E-05  4.037E-02  1.498E+05  1.211E-09  7.687E-03  2.946E-02  4.937E-07  1.495E-02  8.636E+00
 157  3.049E-02   7.338E+01  2.100E-05  2.957E-02  6.692E+04  3.577E-10  5.268E-04  1.021E-02  1.566E-07  1.324E-02  5.487E+00
 158  2.183E-02   6.202E+01  1.460E-05  1.668E-02  3.054E+04  1.091E-10  9.365E-05  3.715E-03  5.089E-08  1.164E-02  3.543E+00
 159  1.562E-02   5.779E+01  7.494E-06  6.993E-03  1.587E+04  3.825E-11  4.647E-05  1.529E-03  1.892E-08  1.029E-02  2.325E+00
 160  1.119E-02   7.243E+01  3.326E-06  2.564E-03  1.174E+04  1.966E-11  5.188E-05  8.850E-04  1.012E-08  9.377E-03  1.581E+00
 161  8.025E-03   1.249E+02  1.460E-06  9.232E-04  1.350E+04  1.649E-11  9.676E-05  7.757E-04  8.603E-09  9.615E-03  1.136E+00
 162  5.761E-03   2.483E+02  6.720E-07  3.488E-04  2.016E+04  1.923E-11  2.204E-04  8.572E-04  9.746E-09  1.207E-02  8.781E-01
 163  4.146E-03   5.417E+02  3.201E-07  1.332E-04  3.478E+04  2.894E-11  5.603E-04  1.079E-03  1.326E-08  1.947E-02  7.524E-01
 164  2.990E-03   1.234E+03  1.585E-07  5.131E-05  6.231E+04  5.095E-11  1.479E-03  1.407E-03  1.954E-08  3.433E-02  7.100E-01
 165  2.165E-03   2.941E+03  8.878E-08  1.936E-05  1.126E+05  9.903E-11  4.132E-03  1.856E-03  3.024E-08  6.007E-02  7.247E-01
 166  1.574E-03   6.427E+03  6.895E-08  7.117E-06  1.905E+05  1.891E-10  1.160E-02  2.316E-03  4.533E-08  1.018E-01  7.838E-01
 167  1.147E-03   1.142E+04  7.251E-08  2.948E-06  2.987E+05  3.425E-10  3.040E-02  2.713E-03  6.446E-08  1.683E-01  8.802E-01
 168  8.397E-04   1.700E+04  8.015E-08  1.650E-06  4.447E+05  5.993E-10  7.033E-02  3.074E-03  8.831E-08  2.761E-01  1.012E+00
 169  6.166E-04   2.094E+04  7.769E-08  1.129E-06  5.979E+05  9.614E-10  1.304E-01  3.226E-03  1.097E-07  4.419E-01  1.157E+00
 170  4.545E-04   2.180E+04  6.496E-08  7.848E-07  7.404E+05  1.468E-09  1.995E-01  3.228E-03  1.255E-07  6.974E-01  1.309E+00
 171  3.360E-04   1.912E+04  4.641E-08  4.974E-07  8.494E+05  2.176E-09  2.560E-01  3.122E-03  1.317E-07  1.062E+00  1.437E+00
