Index   PRESSURE   C3H5       C3H6       C3H7       C3H8       C4H        C4H2       C4H3       C4H4       C4H5       C4H6    
 136   2.692E+01   5.913E-02  5.351E+00  2.202E-06  7.809E-02  1.205E-12  9.049E-03  7.945E-06  9.611E-04  3.345E-07  1.338E-03
 137   2.433E+01   7.413E-02  5.668E+00  2.597E-06  1.071E-01  1.542E-12  1.058E-02  1.055E-05  1.250E-03  4.942E-07  1.751E-03
 138   1.752E+01   1.408E-01  6.218E+00  4.062E-06  2.530E-01  3.256E-12  1.624E-02  2.444E-05  2.493E-03  1.524E-06  3.450E-03
 139   1.251E+01   2.358E-01  5.864E+00  5.665E-06  5.057E-01  5.185E-12  1.906E-02  4.541E-05  3.734E-03  3.729E-06  5.132E-03
 140   8.952E+00   3.492E-01  4.947E+00  6.897E-06  7.727E-01  6.977E-12  1.813E-02  6.617E-05  4.715E-03  7.348E-06  6.050E-03
 141   6.407E+00   4.889E-01  3.936E+00  7.697E-06  9.737E-01  9.159E-12  1.557E-02  8.398E-05  5.713E-03  1.315E-05  6.372E-03
 142   4.584E+00   6.917E-01  3.108E+00  8.340E-06  1.110E+00  1.308E-11  1.354E-02  1.059E-04  7.398E-03  2.435E-05  6.915E-03
 143   3.283E+00   1.028E+00  2.548E+00  8.928E-06  1.175E+00  2.332E-11  1.382E-02  1.518E-04  1.120E-02  5.099E-05  8.801E-03
 144   2.351E+00   1.554E+00  2.170E+00  9.172E-06  1.155E+00  5.197E-11  1.787E-02  2.623E-04  1.944E-02  1.163E-04  1.327E-02
 145   1.684E+00   2.438E+00  1.924E+00  9.407E-06  1.117E+00  1.393E-10  2.864E-02  5.581E-04  3.874E-02  2.932E-04  2.326E-02
 146   1.207E+00   3.742E+00  1.725E+00  9.096E-06  9.935E-01  4.485E-10  5.730E-02  1.411E-03  8.530E-02  7.267E-04  4.275E-02
 147   8.644E-01   5.331E+00  1.494E+00  7.921E-06  7.791E-01  1.582E-09  1.331E-01  3.875E-03  2.054E-01  1.665E-03  7.796E-02
 148   6.189E-01   6.967E+00  1.219E+00  6.149E-06  5.317E-01  5.860E-09  3.412E-01  1.107E-02  5.784E-01  3.791E-03  1.501E-01
