Index  PRESSURE   N          N2         NH         NH2        NH3        N2H        N2H2       H2NN       N2H3       N2H4    
 130   4.908E+01   1.926E+00  1.969E+13  2.901E+02  3.173E+06  2.667E+12  2.608E-01  4.529E-01  4.314E-05  1.016E-03  2.346E-02
 131   4.441E+01   2.129E+00  1.793E+13  2.892E+02  2.963E+06  2.423E+12  2.190E-01  4.527E-01  4.145E-05  1.125E-03  2.295E-02
 132   4.019E+01   2.554E+00  1.631E+13  3.058E+02  2.856E+06  2.199E+12  1.902E-01  4.667E-01  4.150E-05  1.325E-03  2.330E-02
 133   3.635E+01   3.299E+00  1.483E+13  3.397E+02  2.819E+06  1.995E+12  1.691E-01  4.969E-01  4.317E-05  1.668E-03  2.475E-02
 134   3.288E+01   4.447E+00  1.347E+13  3.899E+02  2.835E+06  1.807E+12  1.533E-01  5.346E-01  4.579E-05  2.157E-03  2.658E-02
 135   2.974E+01   6.250E+00  1.224E+13  4.602E+02  2.890E+06  1.637E+12  1.410E-01  5.847E-01  4.968E-05  2.891E-03  2.931E-02
 136   2.692E+01   8.887E+00  1.112E+13  5.501E+02  2.973E+06  1.483E+12  1.310E-01  6.383E-01  5.413E-05  3.864E-03  3.205E-02
 137   2.433E+01   1.301E+01  1.010E+13  6.664E+02  3.070E+06  1.342E+12  1.219E-01  7.055E-01  5.992E-05  5.336E-03  3.617E-02
 138   1.752E+01   4.651E+01  7.368E+12  1.279E+03  3.455E+06  9.664E+11  9.830E-02  9.669E-01  8.522E-05  1.491E-02  5.331E-02
 139   1.251E+01   1.756E+02  5.348E+12  2.501E+03  3.876E+06  6.893E+11  7.848E-02  1.328E+00  1.273E-04  4.077E-02  8.115E-02
 140   8.952E+00   6.664E+02  3.876E+12  4.971E+03  4.406E+06  4.884E+11  6.410E-02  1.864E+00  1.968E-04  1.010E-01  1.151E-01
 141   6.407E+00   2.655E+03  2.801E+12  1.041E+04  5.173E+06  3.425E+11  5.477E-02  2.837E+00  3.176E-04  2.392E-01  1.535E-01
 142   4.584E+00   1.135E+04  2.018E+12  2.319E+04  6.283E+06  2.372E+11  4.904E-02  4.830E+00  5.369E-04  5.651E-01  1.978E-01
 143   3.283E+00   4.993E+04  1.451E+12  5.341E+04  7.769E+06  1.616E+11  4.559E-02  8.982E+00  9.181E-04  1.304E+00  2.428E-01
 144   2.351E+00   1.968E+05  1.042E+12  1.143E+05  9.215E+06  1.080E+11  4.138E-02  1.633E+01  1.459E-03  2.696E+00  2.720E-01
 145   1.684E+00   7.211E+05  7.495E+11  2.293E+05  1.040E+07  7.020E+10  3.681E-02  2.825E+01  2.187E-03  5.080E+00  2.817E-01
 146   1.207E+00   2.224E+06  5.392E+11  4.038E+05  1.080E+07  4.362E+10  3.143E-02  4.216E+01  2.831E-03  7.992E+00  2.523E-01
 147   8.644E-01   5.356E+06  3.879E+11  5.887E+05  9.914E+06  2.535E+10  2.533E-02  4.955E+01  2.922E-03  9.704E+00  1.839E-01
 148   6.189E-01   9.778E+06  2.789E+11  6.856E+05  7.768E+06  1.319E+10  1.935E-02  4.212E+01  2.218E-03  8.415E+00  1.008E-01
 149   4.433E-01   1.277E+07  2.006E+11  6.065E+05  4.999E+06  5.974E+09  1.391E-02  2.380E+01  1.136E-03  4.817E+00  3.867E-02
 150   3.176E-01   1.263E+07  1.446E+11  4.068E+05  2.557E+06  2.218E+09  9.709E-03  8.394E+00  3.743E-04  1.736E+00  9.471E-03
 151   2.273E-01   9.161E+06  1.044E+11  1.926E+05  9.756E+05  6.186E+08  6.733E-03  1.576E+00  6.935E-05  3.382E-01  1.228E-03
 152   1.626E-01   4.303E+06  7.549E+10  5.742E+04  2.603E+05  1.207E+08  4.687E-03  1.304E-01  6.119E-06  2.928E-02  6.957E-05
 153   1.163E-01   1.220E+06  5.461E+10  1.017E+04  4.673E+04  1.580E+07  3.298E-03  4.292E-03  2.349E-07  1.011E-03  1.564E-06
 154   8.334E-02   2.311E+05  3.956E+10  1.180E+03  5.982E+03  1.489E+06  2.308E-03  6.832E-05  4.984E-09  1.665E-05  1.690E-08
 155   5.961E-02   3.530E+04  2.870E+10  1.071E+02  5.840E+02  1.082E+05  1.602E-03  1.823E-06  3.524E-10  1.688E-07  1.862E-10
 156   4.263E-02   6.285E+03  2.085E+10  1.090E+01  5.024E+01  6.980E+03  1.099E-03  8.980E-07  2.885E-10  1.771E-09  5.333E-11
 157   3.049E-02   2.436E+03  1.514E+10  2.380E+00  5.926E+00  5.932E+02  7.476E-04  6.616E-07  2.821E-10  5.471E-11  3.648E-11
 158   2.183E-02   2.003E+03  1.099E+10  1.147E+00  1.925E+00  1.331E+02  5.069E-04  4.862E-07  2.682E-10  9.910E-12  2.460E-11
 159   1.562E-02   1.891E+03  7.974E+09  6.463E-01  1.082E+00  5.373E+01  3.435E-04  3.558E-07  2.510E-10  3.692E-12  1.628E-11
 160   1.119E-02   1.568E+03  5.776E+09  3.370E-01  6.835E-01  2.494E+01  2.315E-04  2.563E-07  2.205E-10  1.447E-12  1.023E-11
 161   8.025E-03   1.177E+03  4.175E+09  1.694E-01  4.600E-01  1.221E+01  1.584E-04  1.851E-07  1.870E-10  5.656E-13  6.167E-12
 162   5.761E-03   9.511E+02  3.011E+09  1.017E-01  3.336E-01  6.400E+00  1.093E-04  1.333E-07  1.519E-10  2.535E-13  3.565E-12
 163   4.146E-03   9.825E+02  2.168E+09  8.759E-02  2.652E-01  3.572E+00  7.828E-05  9.845E-08  1.246E-10  1.394E-13  2.028E-12
 164   2.991E-03   1.236E+03  1.557E+09  9.921E-02  2.277E-01  2.123E+00  5.695E-05  7.327E-08  1.005E-10  9.147E-14  1.124E-12
 165   2.166E-03   1.915E+03  1.117E+09  1.281E-01  2.037E-01  1.299E+00  4.202E-05  5.492E-08  8.003E-11  7.349E-14  6.101E-13
 166   1.575E-03   4.136E+03  8.000E+08  1.825E-01  1.869E-01  8.229E-01  3.060E-05  4.038E-08  6.000E-11  8.767E-14  3.182E-13
 167   1.148E-03   9.072E+03  5.716E+08  2.615E-01  1.755E-01  5.451E-01  2.159E-05  2.860E-08  4.119E-11  1.244E-13  1.571E-13
 168   8.405E-04   1.961E+04  4.079E+08  3.796E-01  1.678E-01  3.725E-01  1.494E-05  1.979E-08  2.650E-11  1.929E-13  7.432E-14
 169   6.172E-04   4.007E+04  2.906E+08  5.530E-01  1.625E-01  2.628E-01  1.006E-05  1.325E-08  1.575E-11  3.082E-13  3.343E-14
 170   4.549E-04   7.803E+04  2.065E+08  8.152E-01  1.590E-01  1.887E-01  6.678E-06  8.694E-09  8.733E-12  4.950E-13  1.424E-14
 171   3.363E-04   1.407E+05  1.462E+08  1.196E+00  1.561E-01  1.374E-01  4.366E-06  5.548E-09  4.406E-12  7.770E-13  5.625E-15
