Index   PRESSURE   C2H        C2H2       C2H3       C2H4       C2H5       C2H6       C3H2       C3H3       CH3C2H     CH2CCH2 
 154   8.334E-02   1.775E+01  9.174E+08  2.286E+03  5.878E+05  2.198E+01  2.742E+02  1.964E+06  8.640E+05  1.900E+03  1.001E+03
 155   5.961E-02   2.081E+01  9.269E+08  2.170E+03  4.208E+05  1.220E+01  1.257E+02  5.744E+06  2.001E+06  2.966E+03  1.629E+03
 156   4.263E-02   2.246E+01  8.768E+08  1.989E+03  2.946E+05  6.249E+00  4.415E+01  1.271E+07  3.474E+06  3.574E+03  2.068E+03
 157   3.049E-02   2.268E+01  7.686E+08  1.501E+03  1.711E+05  2.607E+00  1.099E+01  2.065E+07  4.385E+06  3.211E+03  1.954E+03
 158   2.183E-02   2.227E+01  6.347E+08  9.005E+02  7.944E+04  8.707E-01  2.030E+00  2.541E+07  4.137E+06  2.203E+03  1.397E+03
 159   1.562E-02   2.218E+01  5.094E+08  4.909E+02  3.345E+04  2.646E-01  3.350E-01  2.718E+07  3.372E+06  1.324E+03  8.689E+02
 160   1.119E-02   2.320E+01  4.010E+08  2.836E+02  1.493E+04  8.551E-02  6.718E-02  3.060E+07  2.835E+06  8.307E+02  5.571E+02
 161   8.025E-03   2.822E+01  3.091E+08  1.836E+02  7.308E+03  3.033E-02  1.857E-02  3.996E+07  2.756E+06  6.015E+02  4.095E+02
 162   5.761E-03   4.306E+01  2.275E+08  1.341E+02  3.969E+03  1.194E-02  6.695E-03  5.637E+07  2.872E+06  4.652E+02  3.197E+02
 163   4.146E-03   7.510E+01  1.507E+08  1.124E+02  2.366E+03  5.159E-03  2.775E-03  8.367E+07  3.216E+06  3.818E+02  2.649E+02
 164   2.991E-03   9.454E+01  7.105E+07  1.019E+02  1.480E+03  2.342E-03  1.168E-03  1.223E+08  3.561E+06  3.076E+02  2.150E+02
 165   2.166E-03   2.051E+01  6.285E+06  8.396E+01  7.389E+02  8.522E-04  4.610E-04  1.509E+08  3.346E+06  2.089E+02  1.470E+02
 166   1.575E-03   6.981E+00  9.389E+05  4.136E+01  1.855E+02  1.574E-04  1.231E-04  1.217E+08  2.018E+06  9.088E+01  6.424E+01
 167   1.148E-03   5.850E+00  3.766E+05  1.649E+01  4.207E+01  2.636E-05  2.387E-05  9.148E+07  1.092E+06  3.544E+01  2.504E+01
 168   8.405E-04   5.887E+00  1.975E+05  6.000E+00  9.484E+00  4.402E-06  3.941E-06  6.693E+07  5.619E+05  1.313E+01  9.253E+00
 169   6.172E-04   6.274E+00  1.194E+05  2.115E+00  2.237E+00  7.703E-07  6.070E-07  4.812E+07  2.752E+05  4.639E+00  3.244E+00
 170   4.549E-04   6.953E+00  7.980E+04  7.339E-01  5.457E-01  1.398E-07  8.959E-08  3.413E+07  1.302E+05  1.581E+00  1.093E+00
