Index   PRESSURE   H          HE         H2         C          CH         1CH2       3CH2       CH3        CH4        C2      
 123   9.912E+01   4.484E+11  9.587E+16  4.955E+17  2.089E-06  4.764E-04  9.341E-01  8.037E+01  1.576E+08  8.939E+12  1.088E-11
 124   8.963E+01   3.565E+11  8.749E+16  4.522E+17  1.165E-06  2.837E-04  6.095E-01  5.420E+01  1.248E+08  8.152E+12  5.821E-12
 125   8.112E+01   2.878E+11  7.984E+16  4.127E+17  6.858E-07  1.769E-04  4.116E-01  3.775E+01  1.003E+08  7.433E+12  3.366E-12
 126   7.338E+01   2.349E+11  7.284E+16  3.765E+17  4.159E-07  1.140E-04  2.839E-01  2.688E+01  8.154E+07  6.776E+12  2.077E-12
 127   6.637E+01   1.948E+11  6.644E+16  3.434E+17  2.638E-07  7.706E-05  2.020E-01  1.974E+01  6.732E+07  6.175E+12  1.399E-12
 128   6.001E+01   1.656E+11  6.059E+16  3.131E+17  1.803E-07  5.613E-05  1.509E-01  1.523E+01  5.697E+07  5.626E+12  1.056E-12
 129   5.430E+01   1.459E+11  5.521E+16  2.853E+17  1.416E-07  4.567E-05  1.224E-01  1.269E+01  4.998E+07  5.121E+12  9.385E-13
 130   4.908E+01   1.328E+11  5.029E+16  2.599E+17  1.230E-07  4.096E-05  1.054E-01  1.127E+01  4.529E+07  4.661E+12  9.132E-13
 131   4.441E+01   1.253E+11  4.579E+16  2.367E+17  1.248E-07  4.109E-05  9.879E-02  1.080E+01  4.258E+07  4.238E+12  1.014E-12
 132   4.019E+01   1.220E+11  4.166E+16  2.153E+17  1.446E-07  4.535E-05  9.903E-02  1.105E+01  4.129E+07  3.851E+12  1.231E-12
 133   3.635E+01   1.216E+11  3.788E+16  1.958E+17  1.867E-07  5.385E-05  1.042E-01  1.188E+01  4.101E+07  3.497E+12  1.567E-12
 134   3.288E+01   1.235E+11  3.441E+16  1.778E+17  2.643E-07  6.766E-05  1.144E-01  1.326E+01  4.147E+07  3.172E+12  2.086E-12
 135   2.974E+01   1.271E+11  3.127E+16  1.616E+17  4.013E-07  8.859E-05  1.290E-01  1.523E+01  4.253E+07  2.878E+12  2.823E-12
 136   2.692E+01   1.318E+11  2.840E+16  1.468E+17  6.380E-07  1.190E-04  1.488E-01  1.781E+01  4.396E+07  2.610E+12  3.890E-12
 137   2.433E+01   1.374E+11  2.579E+16  1.333E+17  1.046E-06  1.622E-04  1.722E-01  2.098E+01  4.564E+07  2.365E+12  5.225E-12
 138   1.752E+01   1.599E+11  1.882E+16  9.726E+16  5.823E-06  4.667E-04  2.881E-01  3.705E+01  5.239E+07  1.714E+12  1.316E-11
 139   1.251E+01   1.870E+11  1.366E+16  7.059E+16  3.459E-05  1.368E-03  4.798E-01  6.575E+01  6.018E+07  1.232E+12  2.780E-11
 140   8.952E+00   2.218E+11  9.899E+15  5.116E+16  2.160E-04  4.205E-03  8.357E-01  1.208E+02  7.003E+07  8.826E+11  5.958E-11
 141   6.407E+00   2.724E+11  7.151E+15  3.696E+16  1.521E-03  1.444E-02  1.599E+00  2.404E+02  8.421E+07  6.278E+11  1.491E-10
 142   4.584E+00   3.477E+11  5.151E+15  2.662E+16  1.224E-02  5.612E-02  3.371E+00  5.213E+02  1.050E+08  4.431E+11  4.582E-10
 143   3.283E+00   4.565E+11  3.704E+15  1.914E+16  1.069E-01  2.379E-01  7.658E+00  1.202E+03  1.338E+08  3.101E+11  1.780E-09
 144   2.351E+00   5.835E+11  2.660E+15  1.375E+16  8.177E-01  9.281E-01  1.652E+01  2.623E+03  1.648E+08  2.150E+11  7.426E-09
 145   1.684E+00   7.327E+11  1.913E+15  9.885E+15  5.688E+00  3.373E+00  3.363E+01  5.424E+03  1.968E+08  1.473E+11  8.970E-08
 146   1.207E+00   8.830E+11  1.376E+15  7.109E+15  3.257E+01  1.063E+01  6.184E+01  1.013E+04  2.215E+08  9.922E+10  7.562E-06
 147   8.644E-01   1.004E+12  9.894E+14  5.113E+15  1.429E+02  2.748E+01  9.886E+01  1.647E+04  2.301E+08  6.532E+10  1.956E-04
 148   6.189E-01   1.083E+12  7.111E+14  3.675E+15  4.893E+02  5.899E+01  1.382E+02  2.340E+04  2.201E+08  4.174E+10  1.753E-03
 149   4.433E-01   1.100E+12  5.114E+14  2.642E+15  1.276E+03  1.036E+02  1.679E+02  2.891E+04  1.946E+08  2.618E+10  7.142E-03
 150   3.176E-01   1.093E+12  3.686E+14  1.904E+15  3.015E+03  1.676E+02  1.904E+02  3.360E+04  1.668E+08  1.635E+10  1.850E-02
 151   2.273E-01   1.090E+12  2.661E+14  1.375E+15  7.341E+03  2.746E+02  2.140E+02  3.924E+04  1.446E+08  1.032E+10  3.763E-02
 152   1.626E-01   1.099E+12  1.924E+14  9.938E+14  1.857E+04  4.657E+02  2.443E+02  4.688E+04  1.280E+08  6.593E+09  6.730E-02
 153   1.163E-01   1.121E+12  1.392E+14  7.188E+14  4.683E+04  8.012E+02  2.793E+02  5.611E+04  1.128E+08  4.149E+09  1.131E-01
 154   8.334E-02   1.144E+12  1.008E+14  5.206E+14  1.068E+05  1.284E+03  2.973E+02  6.248E+04  9.392E+07  2.473E+09  1.805E-01
 155   5.961E-02   1.166E+12  7.315E+13  3.775E+14  2.058E+05  1.797E+03  2.789E+02  6.069E+04  7.014E+07  1.327E+09  2.786E-01
 156   4.263E-02   1.181E+12  5.313E+13  2.740E+14  3.099E+05  2.016E+03  2.181E+02  4.753E+04  4.465E+07  6.128E+08  4.149E-01
 157   3.049E-02   1.189E+12  3.859E+13  1.989E+14  3.550E+05  1.730E+03  1.395E+02  2.862E+04  2.352E+07  2.356E+08  5.950E-01
 158   2.183E-02   1.190E+12  2.802E+13  1.443E+14  3.181E+05  1.160E+03  7.610E+01  1.357E+04  1.056E+07  7.766E+07  8.228E-01
 159   1.562E-02   1.190E+12  2.032E+13  1.045E+14  2.508E+05  6.840E+02  3.919E+01  5.655E+03  4.433E+06  2.389E+07  1.125E+00
 160   1.119E-02   1.175E+12  1.472E+13  7.551E+13  2.154E+05  4.460E+02  2.302E+01  2.643E+03  2.084E+06  8.304E+06  1.564E+00
 161   8.025E-03   1.167E+12  1.064E+13  5.443E+13  2.413E+05  3.752E+02  1.763E+01  1.587E+03  1.228E+06  3.576E+06  2.539E+00
 162   5.761E-03   1.159E+12  7.677E+12  3.910E+13  3.365E+05  3.804E+02  1.641E+01  1.149E+03  8.577E+05  1.817E+06  5.030E+00
 163   4.146E-03   1.182E+12  5.528E+12  2.798E+13  6.180E+05  4.507E+02  1.773E+01  9.470E+02  6.580E+05  9.808E+05  1.030E+01
 164   2.991E-03   1.215E+12  3.972E+12  1.992E+13  1.972E+06  6.108E+02  2.007E+01  8.833E+02  5.097E+05  5.268E+05  1.399E+01
 165   2.166E-03   1.257E+12  2.850E+12  1.411E+13  3.053E+07  1.834E+03  2.269E+01  1.787E+03  3.877E+05  2.740E+05  3.141E+00
 166   1.575E-03   1.272E+12  2.043E+12  9.927E+12  1.266E+08  4.152E+03  1.991E+01  2.800E+03  2.412E+05  1.180E+05  1.082E+00
 167   1.148E-03   1.240E+12  1.461E+12  6.935E+12  2.124E+08  4.908E+03  1.428E+01  2.377E+03  1.248E+05  4.356E+04  9.173E-01
 168   8.405E-04   1.178E+12  1.044E+12  4.811E+12  2.769E+08  4.805E+03  9.356E+00  1.709E+03  5.905E+04  1.492E+04  9.370E-01
 169   6.172E-04   1.082E+12  7.452E+11  3.314E+12  3.113E+08  4.271E+03  5.801E+00  1.149E+03  2.665E+04  4.999E+03  1.016E+00
 170   4.549E-04   9.733E+11  5.309E+11  2.261E+12  3.221E+08  3.639E+03  3.550E+00  7.510E+02  1.176E+04  1.653E+03  1.146E+00
 171   3.363E-04   8.541E+11  3.774E+11  1.527E+12  3.098E+08  3.033E+03  2.192E+00  4.899E+02  5.189E+03  5.531E+02  1.345E+00
 172   2.493E-04   7.338E+11  2.673E+11  1.019E+12  2.810E+08  2.521E+03  1.398E+00  3.235E+02  2.313E+03  1.881E+02  1.669E+00
