Index PRESSURE   N          N2         NH         NH2        NH3        N2H        N2H2       H2NN       N2H3       N2H4    
 144  4.003E+00   5.930E+03  1.479E+12  2.396E+04  2.926E+06  1.150E+10  4.061E-01  3.485E-02  8.943E-06  1.313E-03  7.747E-05
 145  2.883E+00   2.069E+04  1.035E+12  5.589E+04  3.924E+06  7.641E+09  4.263E-01  4.866E-02  1.526E-05  1.929E-03  5.691E-05
 146  2.077E+00   6.860E+04  7.206E+11  1.279E+05  5.207E+06  4.951E+09  4.544E-01  5.967E-02  2.382E-05  2.418E-03  3.592E-05
 147  1.499E+00   2.156E+05  5.014E+11  2.806E+05  6.664E+06  3.102E+09  4.841E-01  6.580E-02  3.386E-05  2.698E-03  2.027E-05
 148  1.081E+00   6.198E+05  3.493E+11  5.613E+05  7.880E+06  1.847E+09  4.999E-01  6.594E-02  4.286E-05  2.725E-03  1.042E-05
 149  7.792E-01   1.546E+06  2.441E+11  9.749E+05  8.248E+06  1.012E+09  4.962E-01  5.606E-02  4.482E-05  2.329E-03  4.578E-06
 150  5.611E-01   3.208E+06  1.711E+11  1.398E+06  7.238E+06  4.825E+08  4.731E-01  3.700E-02  3.527E-05  1.543E-03  1.576E-06
 151  4.042E-01   4.930E+06  1.200E+11  1.534E+06  5.044E+06  1.903E+08  4.328E-01  1.517E-02  1.714E-05  6.349E-04  3.408E-07
 152  2.912E-01   5.549E+06  8.425E+10  1.264E+06  2.730E+06  6.078E+07  3.788E-01  3.794E-03  5.025E-06  1.593E-04  4.552E-08
 153  2.095E-01   4.886E+06  5.916E+10  8.394E+05  1.235E+06  1.699E+07  3.159E-01  6.691E-04  1.029E-06  2.810E-05  4.337E-09
 154  1.509E-01   3.970E+06  4.155E+10  5.361E+05  5.612E+05  4.975E+06  2.522E-01  1.163E-04  2.089E-07  4.801E-06  4.070E-10
 155  1.086E-01   3.295E+06  2.922E+10  3.581E+05  2.754E+05  1.640E+06  1.927E-01  2.518E-05  5.306E-08  9.719E-07  4.672E-11
 156  8.022E-02   2.744E+06  2.060E+10  2.439E+05  1.420E+05  5.943E+05  1.412E-01  7.112E-06  1.764E-08  2.329E-07  6.804E-12
 157  5.817E-02   2.241E+06  1.456E+10  1.651E+05  7.478E+04  2.284E+05  9.893E-02  2.471E-06  7.224E-09  5.955E-08  1.109E-12
 158  4.228E-02   1.792E+06  1.029E+10  1.121E+05  4.042E+04  9.234E+04  6.754E-02  1.063E-06  3.665E-09  1.573E-08  2.012E-13
